Issue Type,Summary,Description,Labels
Task,[P2 Feature] Create Schedule Publishing Endpoint,"**Priority**: P2 — CORE FEATURE
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Features/Schedules/Publish/PublishScheduleCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/SchedulePublishController.cs` [NEW]

**Implementation Steps**:
1. Create `PublishScheduleCommand(List<DraftShiftDto> Shifts, string ManagerJustification)`.
2. In handler: Run validation first. If errors, return failure. If overtime warnings, require justification. Create `ShiftEntity` records with `IsPublished = true`.
3. Create `POST api/v1/schedules/publish` with `[Authorize(Roles = ""Admin,Manager"")]`.

**Acceptance Criteria**:
- Publishing with validation errors is rejected.
- Publishing with overtime warnings requires justification.
- Published shifts appear in open shifts market (if unassigned).","P2,feature:slice,layer:application,layer:api,scheduling"
Task,[P2 Feature] Create Reward Redemption Endpoint (Task 64),"**Priority**: P2 — CORE FEATURE
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Features/Rewards/RedeemReward/RedeemRewardCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/RewardRedemptionController.cs` [NEW]

**Problem**:
Last remaining task from original Phase 4 roadmap. Completes gamification loop.

**Implementation Steps**:
1. Create `RedeemRewardCommand(int RewardItemId, int EmployeeId)`.
2. In handler: Validate reward exists and has stock. Calculate employee points balance. Check sufficient balance. Decrement stock. Create debit PointsTransaction. Create RewardRedemption record with voucher code. Save all atomically.
3. Create `POST api/v1/rewards/{id}/redeem` with `[Authorize]`.

**Acceptance Criteria**:
- Insufficient points returns error with current balance.
- Successful redemption deducts points and returns voucher code.
- Reward stock decrements.","P2,feature:slice,layer:application,layer:api,gamification"
Task,[P3 Workflow] Create Shift Market Approval and Rejection Endpoints,"**Priority**: P3 — MANAGER WORKFLOW
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Features/ShiftMarket/ApproveClaim/ApproveShiftClaimCommand.cs` [NEW]
- `src/Buy2.Application/Features/ShiftMarket/RejectClaim/RejectShiftClaimCommand.cs` [NEW]
- `src/Buy2.Application/Features/ShiftMarket/GetPendingClaims/GetPendingClaimsQuery.cs` [NEW]
- `src/Buy2.Api/Controllers/ShiftClaimManagementController.cs` [NEW]

**Implementation Steps**:
1. `GetPendingClaimsQuery`: Fetch all ShiftClaim where Status == Pending.
2. `ApproveShiftClaimCommand(int ClaimId)`: Update status to Approved, assign employee to shift.
3. `RejectShiftClaimCommand(int ClaimId, string Reason)`: Update status to Rejected.
4. Endpoints (all `[Authorize(Roles = ""Admin,Manager"")]`): GET pending, POST approve, POST reject.

**Acceptance Criteria**:
- Managers can see pending claims list.
- Approved claim assigns employee to shift.
- Rejected claim records reason.","P3,feature:slice,layer:application,layer:api,shift-market"
Task,[P3 Workflow] Create Points Wallet Balance and Manual Adjustment Endpoints,"**Priority**: P3 — MANAGER WORKFLOW
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (2-3 hours)

**Locations**:
- `src/Buy2.Application/Features/Points/GetWallet/GetPointsWalletQuery.cs` [NEW]
- `src/Buy2.Application/Features/Points/AdjustPoints/AdjustPointsCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/PointsWalletController.cs` [NEW]

**Implementation Steps**:
1. `GetPointsWalletQuery(int EmployeeId)`: Sum all PointsTransaction.Amount. Return balance + history.
2. `AdjustPointsCommand(int EmployeeId, int Amount, string Reason)`: Create manual PointsTransaction.
3. Endpoints: GET wallet/{employeeId}, POST adjust.

**Acceptance Criteria**:
- Wallet query returns correct balance sum.
- Manual adjustment creates transaction and updates effective balance.","P3,feature:slice,layer:application,layer:api,gamification"
Task,[P3 Workflow] Create Employee Directory with Pagination,"**Priority**: P3 — OPERATIONAL QUERY
**Layer**: Buy2.Application + Buy2.Api + Buy2.Infrastructure
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Features/Employees/GetEmployees/GetEmployeesQuery.cs` [NEW]
- `src/Buy2.Application/Features/Employees/GetEmployee/GetEmployeeByIdQuery.cs` [NEW]
- `src/Buy2.Api/Controllers/EmployeeDirectoryController.cs` [NEW]

**Problem**:
No way to list or search employees. `GetAllAsync()` returns entire table (100k records).

**Implementation Steps**:
1. Add pagination to `IRepository<T>`: `GetPagedAsync(int page, int pageSize, filter)`.
2. Implement in `GenericRepository<T>` using Skip/Take.
3. Create paged employees query with site/role/name filters.
4. Create single employee profile query with related data summary.
5. Endpoints: GET employees (paginated), GET employees/{id}.

**Acceptance Criteria**:
- Employee list returns paginated results.
- Search by name filters correctly.
- Single employee returns profile with stats.","P3,feature:slice,layer:application,layer:api,layer:infrastructure,employee"
Task,[P3 Workflow] Create Reward Catalog Management and Voucher Import Endpoints,"**Priority**: P3 — GAMIFICATION
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Features/Rewards/CreateReward/CreateRewardCommand.cs` [NEW]
- `src/Buy2.Application/Features/Rewards/GetRewards/GetRewardsQuery.cs` [NEW]
- `src/Buy2.Application/Features/Rewards/ImportVouchers/ImportVouchersCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/RewardCatalogController.cs` [NEW]

**Implementation Steps**:
1. `CreateRewardCommand`: Create RewardItem, persist, return ID.
2. `GetRewardsQuery`: Return all rewards with AvailableStock > 0.
3. `ImportVouchersCommand`: Use existing `ExcelVoucherParser` to extract codes from .xlsx and add to inventory.
4. Endpoints: POST rewards, GET rewards, POST rewards/{id}/vouchers/import.

**Acceptance Criteria**:
- Admin can create reward items.
- Employees can browse available rewards.
- Bulk Excel import adds voucher codes.","P3,feature:slice,layer:application,layer:api,gamification"
Task,[P3 Workflow] Create Employee Update (Transfer / Promotion) Endpoint,"**Priority**: P3 — OPERATIONAL
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Small (2 hours)

**Locations**:
- `src/Buy2.Application/Features/Employees/UpdateEmployee/UpdateEmployeeCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/EmployeeManagementController.cs` [NEW]

**Implementation Steps**:
1. `UpdateEmployeeCommand(int EmployeeId, int? NewSiteId, int? NewRoleId, int? NewJobRoleId, string? NewPhoneNumber)`: Partial update pattern — only update non-null fields.
2. Validate new FK references exist if provided.
3. Create `PUT api/v1/employees/{id}` with `[Authorize(Roles = ""Admin,Manager"")]`.

**Acceptance Criteria**:
- Manager can transfer employee to different site.
- Admin can change employee role.
- Null fields are not overwritten.","P3,feature:slice,layer:application,layer:api,employee"
Task,[P4 Hygiene] Consolidate Feature Folders and Fix Naming Mismatches,"**Priority**: P4 — CODE HYGIENE
**Layer**: Buy2.Application + Buy2.Domain
**Estimated Effort**: Medium (2-3 hours)

**Locations**:
- `src/Buy2.Application/Features/` and `src/Buy2.Application/CQRS/` (consolidate)
- `src/Buy2.Domain/Entities/PointsRole.cs` (rename to PointsRule.cs)
- `src/Buy2.Api/Controllers/EmployeeDocumentsController.cs` (fix class name)
- `src/Buy2.Application/DTOs/Points/DTOs/` and `DTOs/Rewards/DTOs/` (flatten)

**Implementation Steps**:
1. Move all handlers from `CQRS/` into `Features/` vertical slice convention.
2. Update namespaces to match new folder paths.
3. Rename `PointsRole.cs` to `PointsRule.cs`.
4. Fix `EmployeeDocumentController` class name to `EmployeeDocumentsController`.
5. Flatten redundant nested DTO folders.
6. Verify solution builds and all MediatR handlers resolve.

**Acceptance Criteria**:
- All handlers under `Features/` with consistent naming.
- No duplicate or confusing folder paths.
- Solution builds and all endpoints work.","P4,layer:application,layer:domain,refactor,hygiene"
Task,[P4 Hygiene] Add Missing EF Core Entity Configurations,"**Priority**: P4 — CODE HYGIENE
**Layer**: Buy2.Infrastructure
**Estimated Effort**: Small (1-2 hours)

**Locations**:
- `src/Buy2.Infrastructure/Persistence/Configurations/` [5 NEW files]

**Problem**:
5 entities (AttendanceProfile, JobRole, PointsRule, RewardItem, Role) rely on EF conventions. Column types default to nvarchar(max) and no unique indexes.

**Implementation Steps**:
1. Create `IEntityTypeConfiguration<T>` for each: AttendanceProfile, JobRole, PointsRule, RewardItem, Role.
2. Define string column lengths, unique indexes, precision values.
3. Create EF migration.

**Acceptance Criteria**:
- All 13 entities have explicit EF configurations.
- String columns have defined max lengths.
- Unique indexes on Role.Name and PointsRule.RuleKey.","P4,layer:infrastructure,database,hygiene"
Task,[P4 Hygiene] Standardize Controller Response Types and Add ProducesResponseType,"**Priority**: P4 — CODE HYGIENE
**Layer**: Buy2.Api
**Estimated Effort**: Small (1-2 hours)

**Location**:
- ALL files in `src/Buy2.Api/Controllers/`

**Problem**:
Inconsistent return types and missing `[ProducesResponseType]` attributes. Swagger docs incomplete.

**Implementation Steps**:
1. Standardize all controllers to use `ActionResult<T>` for typed responses.
2. Add `[ProducesResponseType]` for 200, 400, 401, 404 where applicable.
3. Use `CreatedAtAction` for creation endpoints.

**Acceptance Criteria**:
- Swagger UI shows all possible response codes per endpoint.
- All controllers use consistent `ActionResult<T>` pattern.","P4,layer:api,controller,hygiene"
