Issue Type,Issue Key,Summary,Description,Labels
Task,SCRUM-66,Create PointsTransactionConfiguration Class,"**Task 61 (`SCRUM-66`)**: Create PointsTransactionConfiguration Class

**Target File Location**: `src/Buy2.Infrastructure/Persistence/Configurations/PointsTransactionConfiguration.cs`
**Git Branch Name**: `SCRUM-66-create-points-transaction-configuration`
**PR Title**: `SCRUM-66: Create PointsTransactionConfiguration Class`

**Instructions**:
1. Create class `PointsTransactionConfiguration` implementing `IEntityTypeConfiguration<PointsTransaction>`.
2. Configure property mappings and relationships.","layer:infrastructure,database"
Task,SCRUM-67,Create RewardRedemptionConfiguration Class,"**Task 62 (`SCRUM-67`)**: Create RewardRedemptionConfiguration Class

**Target File Location**: `src/Buy2.Infrastructure/Persistence/Configurations/RewardRedemptionConfiguration.cs`
**Git Branch Name**: `SCRUM-67-create-reward-redemption-configuration`
**PR Title**: `SCRUM-67: Create RewardRedemptionConfiguration Class`

**Instructions**:
1. Create class `RewardRedemptionConfiguration` implementing `IEntityTypeConfiguration<RewardRedemption>`.
2. Configure required property `VoucherCode`.","layer:infrastructure,database"
Task,SCRUM-68,Create Infrastructure DependencyInjection Setup,"**Task 63 (`SCRUM-68`)**: Create Infrastructure DependencyInjection Setup

**Target File Location**: `src/Buy2.Infrastructure/DependencyInjection.cs`
**Git Branch Name**: `SCRUM-68-create-infrastructure-dependency-injection`
**PR Title**: `SCRUM-68: Create Infrastructure DependencyInjection Setup`

**Instructions**:
1. Create static class `DependencyInjection` in `Buy2.Infrastructure`.
2. Add extension method `public static IServiceCollection AddInfrastructureServices(this IServiceCollection services, IConfiguration configuration)`.
3. Provide return stub `return services;`.","layer:infrastructure,service"
Task,SCRUM-69,Create AuthPasswordResetController,"**Task 64 (`SCRUM-69`)**: Create AuthPasswordResetController

**Target File Location**: `src/Buy2.Api/Controllers/AuthPasswordResetController.cs`
**Git Branch Name**: `SCRUM-69-create-auth-password-reset-controller`
**PR Title**: `SCRUM-69: Create AuthPasswordResetController`

**Instructions**:
1. Create `[ApiController]` class `AuthPasswordResetController` at route `[Route(""api/v1/auth"")]`.
2. Add `[HttpPost(""password/reset"")]` endpoint stub returning `IActionResult` (e.g. `Ok()`).","layer:api,controller,good first issue"
Task,SCRUM-70,Create DeleteRoleController,"**Task 65 (`SCRUM-70`)**: Create DeleteRoleController

**Target File Location**: `src/Buy2.Api/Controllers/DeleteRoleController.cs`
**Git Branch Name**: `SCRUM-70-create-delete-role-controller`
**PR Title**: `SCRUM-70: Create DeleteRoleController`

**Instructions**:
1. Create `[ApiController]` class `DeleteRoleController` at route `[Route(""api/v1/roles"")]`.
2. Add `[HttpDelete(""{id}"")]` endpoint stub for soft deleting a role.","layer:api,controller,good first issue"
Task,SCRUM-71,Create EmployeeAttendanceConfigController,"**Task 66 (`SCRUM-71`)**: Create EmployeeAttendanceConfigController

**Target File Location**: `src/Buy2.Api/Controllers/EmployeeAttendanceConfigController.cs`
**Git Branch Name**: `SCRUM-71-create-employee-attendance-config-controller`
**PR Title**: `SCRUM-71: Create EmployeeAttendanceConfigController`

**Instructions**:
1. Create `[ApiController]` class `EmployeeAttendanceConfigController` at route `[Route(""api/v1/employees"")]`.
2. Add `[HttpPut(""{id}/attendance-config"")]` endpoint stub.","layer:api,controller,good first issue"
Task,SCRUM-72,Create EmployeeDocumentsController,"**Task 67 (`SCRUM-72`)**: Create EmployeeDocumentsController

**Target File Location**: `src/Buy2.Api/Controllers/EmployeeDocumentsController.cs`
**Git Branch Name**: `SCRUM-72-create-employee-documents-controller`
**PR Title**: `SCRUM-72: Create EmployeeDocumentsController`

**Instructions**:
1. Create `[ApiController]` class `EmployeeDocumentsController` at route `[Route(""api/v1/employees"")]`.
2. Add `[HttpPost(""{id}/documents"")]` endpoint stub accepting `UploadEmployeeDocumentDto`.","layer:api,controller,good first issue"
Task,SCRUM-73,Create DisciplinaryViolationsController,"**Task 68 (`SCRUM-73`)**: Create DisciplinaryViolationsController

**Target File Location**: `src/Buy2.Api/Controllers/DisciplinaryViolationsController.cs`
**Git Branch Name**: `SCRUM-73-create-disciplinary-violations-controller`
**PR Title**: `SCRUM-73: Create DisciplinaryViolationsController`

**Instructions**:
1. Create `[ApiController]` class `DisciplinaryViolationsController` at route `[Route(""api/v1/employees"")]`.
2. Add `[HttpPost(""{id}/violations"")]` endpoint stub accepting `LogDisciplinaryViolationDto`.","layer:api,controller,good first issue"
Task,SCRUM-74,Create GetSitesController,"**Task 69 (`SCRUM-74`)**: Create GetSitesController

**Target File Location**: `src/Buy2.Api/Controllers/GetSitesController.cs`
**Git Branch Name**: `SCRUM-74-create-get-sites-controller`
**PR Title**: `SCRUM-74: Create GetSitesController`

**Instructions**:
1. Create `[ApiController]` class `GetSitesController` at route `[Route(""api/v1/sites"")]`.
2. Add `[HttpGet]` endpoint stub returning list of sites.","layer:api,controller,good first issue"
Task,SCRUM-75,Create SchedulePublishController,"**Task 70 (`SCRUM-75`)**: Create SchedulePublishController

**Target File Location**: `src/Buy2.Api/Controllers/SchedulePublishController.cs`
**Git Branch Name**: `SCRUM-75-create-schedule-publish-controller`
**PR Title**: `SCRUM-75: Create SchedulePublishController`

**Instructions**:
1. Create `[ApiController]` class `SchedulePublishController` at route `[Route(""api/v1/schedules"")]`.
2. Add `[HttpPost(""publish"")]` endpoint stub.","layer:api,controller,good first issue"
Task,SCRUM-76,Create ShiftClaimsController,"**Task 71 (`SCRUM-76`)**: Create ShiftClaimsController

**Target File Location**: `src/Buy2.Api/Controllers/ShiftClaimsController.cs`
**Git Branch Name**: `SCRUM-76-create-shift-claims-controller`
**PR Title**: `SCRUM-76: Create ShiftClaimsController`

**Instructions**:
1. Create `[ApiController]` class `ShiftClaimsController` at route `[Route(""api/v1/shift-market"")]`.
2. Add `[HttpPost(""claims/{id}"")]` endpoint stub accepting `ClaimShiftDto`.","layer:api,controller,good first issue"
Task,SCRUM-77,Create RewardInventoryController,"**Task 72 (`SCRUM-77`)**: Create RewardInventoryController

**Target File Location**: `src/Buy2.Api/Controllers/RewardInventoryController.cs`
**Git Branch Name**: `SCRUM-77-create-reward-inventory-controller`
**PR Title**: `SCRUM-77: Create RewardInventoryController`

**Instructions**:
1. Create `[ApiController]` class `RewardInventoryController` at route `[Route(""api/v1/rewards"")]`.
2. Add `[HttpPost(""{id}/inventory/upload"")]` endpoint stub accepting Excel file parameter.","layer:api,controller,good first issue"
Task,SCRUM-78,Create PointsRulesController,"**Task 73 (`SCRUM-78`)**: Create PointsRulesController

**Target File Location**: `src/Buy2.Api/Controllers/PointsRulesController.cs`
**Git Branch Name**: `SCRUM-78-create-points-rules-controller`
**PR Title**: `SCRUM-78: Create PointsRulesController`

**Instructions**:
1. Create `[ApiController]` class `PointsRulesController` at route `[Route(""api/v1/points"")]`.
2. Add `[HttpPost(""rules"")]` endpoint stub accepting `CreatePointsRuleDto`.","layer:api,controller,good first issue"
Task,SCRUM-79,Create RewardRedemptionController,"**Task 74 (`SCRUM-79`)**: Create RewardRedemptionController

**Target File Location**: `src/Buy2.Api/Controllers/RewardRedemptionController.cs`
**Git Branch Name**: `SCRUM-79-create-reward-redemption-controller`
**PR Title**: `SCRUM-79: Create RewardRedemptionController`

**Instructions**:
1. Create `[ApiController]` class `RewardRedemptionController` at route `[Route(""api/v1/rewards"")]`.
2. Add `[HttpPost(""{id}/redeem"")]` endpoint stub accepting `RedeemRewardDto`.","layer:api,controller,good first issue"
Task,SCRUM-80,Create EmployeeDocumentsComponent,"**Task 75 (`SCRUM-80`)**: Create EmployeeDocumentsComponent

**Target File Location**: `src/Buy2.Frontend/src/app/features/employees/employee-documents.component.ts`
**Git Branch Name**: `SCRUM-80-create-employee-documents-component`
**PR Title**: `SCRUM-80: Create EmployeeDocumentsComponent`

**Instructions**:
1. Create standalone Angular component `EmployeeDocumentsComponent`.
2. Add file upload template and list of employee compliance documents per Figma design.","layer:frontend,component,good first issue"
Task,SCRUM-81,Create PointsRulesAdminComponent,"**Task 76 (`SCRUM-81`)**: Create PointsRulesAdminComponent

**Target File Location**: `src/Buy2.Frontend/src/app/features/points/points-rules-admin.component.ts`
**Git Branch Name**: `SCRUM-81-create-points-rules-admin-component`
**PR Title**: `SCRUM-81: Create PointsRulesAdminComponent`

**Instructions**:
1. Create standalone Angular component `PointsRulesAdminComponent`.
2. Add form for configuring points rules and penalty/reward values per Figma design.","layer:frontend,component"
